,Cod_Muestra,Fecha,Tipo,UTM_Este,UTM_Norte,SO4,NO3,Ca,Mg,K,Na,CO3,HCO3,Cl,Fe,Cu,pH,mSO4,O18,Deuterio,TDS mg/l,EC,Salinidad,rCa,rMg,rK,rNa,rCl,rSO4,rCO3,rHCO3,rNO3,Suma Aniones [meq/l],Suma Cationes [meq/l],Balance %,O2,Li,F,Al,Sb,As,Ba,Be,B,Cd,Co,Cr,Sn,P,Mn,Hg,Mo,Ni,Ag,Pb,Se,V,Zn,Si,eH,Do,T
216,CPO-PF-006,09-04-2008 0:00,Pozo,437400,6886255,162,8.525,65,17.5,1.47,10.5,0,79,8,0.514,0.005,7.54,1.686445971,,,311.46,494,Dulce moderadamente mineralizada,3.243674834,1.440032915,0.037597543,0.456724286,0.225652771,3.372765543,0,1.294719021,0.137489134,5.030626469,5.178029578,1.443903175,4.88,0.02,0.04,0.01,0.005,0.0025,0.024,0.001,0.06,0.001,0.001,0.0005,0.0015,0.025,0.028,0.00015,0.007,0.0025,0.001,0.001,0.0025,0.0015,0.015,,,,
217,CPM-JC-04,24-04-2018 0:00,Pozo,353776,6979642,871,31,355,95,7,180,0,216,363,0.005,0.005,7.26,9.067249636,-10.18,-79.7,2010,2880,Salobre,17.71545486,7.817321539,0.179035917,7.829559196,10.23899449,18.13381968,0,3.539991248,0.499960487,32.4127659,33.54137151,1.711197591,5.8,0.35,0.37,0.01,0.005,0.014,0.018,0.001,1.4,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.011,,0.001,0.001,0.012,0.003,0.005,,,,
218,CPM-JC-06,25-04-2018 0:00,Pozo,367737,6971991,789,22,270,60,5,195,0,132,318,0.034,0.005,7.16,8.21361649,-9.49,-78.4,1724,2550,Salobre,13.47372623,4.937255709,0.127882798,8.482022462,8.969697653,16.42661737,0,2.163327985,0.354810668,27.91445367,27.0208872,-1.626578548,4.23,0.01,0.37,0.01,0.005,0.026,0.026,0.001,2.8,0.001,0.001,0.001,0.0015,0.025,0.0015,0.00015,0.012,,0.001,0.001,0.032,0.004,0.029,,,,
219,CPM-JC-07,25-04-2018 0:00,Pozo,370829,6968552,649,3.2,243,25,1.8,75,0,55,119,0.036,0.005,7.5,6.756194045,-9.31,-75.1,1143,1388,Salobre,12.12635361,2.057189879,0.046037807,3.262316332,3.356584971,13.51188171,0,0.90138666,0.051608824,17.82146217,17.49189763,-0.933257389,5.19,0.01,0.3,0.01,0.005,0.03,0.02,0.001,2.2,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.011,,0.001,0.001,0.022,0.004,0.016,,,,
220,CPM-JC-08,25-04-2018 0:00,Pozo,375065,6952032,431,8.8,183,25,2,40,0,92,87,0.052,0.005,7.6,4.486779096,-10.81,-83.3,822,1190,Dulce mineralizada,9.132192225,2.057189879,0.051153119,1.739902044,2.453973886,8.973221907,0,1.50777405,0.141924267,13.07689411,12.98043727,-0.370171615,5.54,0.01,0.19,0.01,0.005,0.025,0.017,0.001,1.1,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.011,,0.001,0.001,0.012,0.004,0.005,,,,
221,CPM-JC-09,25-04-2018 0:00,Pozo,376090,6969900,1340,19,440,80,6.8,260,0,168,371,0.123,0.005,7.43,13.94961482,-6.68,-63.1,2600,3410,Salobre,21.95718349,6.583007612,0.173920605,11.30936328,10.46464726,27.89818412,0,2.753326526,0.306427395,41.4225853,40.02347499,-1.717836697,4.13,0.01,0.3,0.01,0.005,0.018,0.015,0.001,1.8,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.00015,0.02,,0.001,0.001,0.011,0.006,0.005,,,,
222,CPM-JC-10,26-04-2018 0:00,Pozo,376899,6949742,1166,31,420,80,7.8,220,0,85,417,0.049,0.005,7.28,12.13824693,-8.42,-73.5,2384,3170,Salobre,20.9591297,6.583007612,0.199497165,9.569461239,11.7621507,24.27558409,0,1.393052112,0.499960487,37.93074739,37.31109571,-0.823546645,4.39,0.01,0.41,0.01,0.005,0.01,0.027,0.001,1,0.001,0.001,0.0005,0.0015,0.025,0.0015,0.0005,0.023,,0.001,0.001,0.016,0.004,0.005,,,,
223,SOC-FF-01,15-08-2022 0:00,IM270 G4,374260,6961641,815.2,20.6,290,80,7.7,146.3,0,124.3,212.6,0.2,1,7.8,8.48636269,-10.24,-78.92,1319,2637,Salobre,14.47178003,6.583007612,0.196939509,6.363691724,5.996722393,16.97208932,0,2.037133853,0.332231807,25.33817738,27.61541887,4.300447292,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
224,SOC-FF-02,15-08-2022 0:00,IM270 G12,374313,6961673,900.5,7.7,340,75,8.8,156,0,101.4,295.5,2.2,0.05,7.2,9.374349365,-10.11,-79.6,1439,2877,Salobre,16.96691452,6.171569636,0.225073724,6.78561797,8.335049235,18.74799612,0,1.661829225,0.124183734,28.86905831,30.14917585,2.169020392,,,,1,,,,,,,,,,,,,,,,,,,,,,,
225,SOC-FF-03,15-08-2022 0:00,IM60,373712,6962224,1270.7,28,457.5,87.5,11.8,172.8,0,74.7,253.6,0.4,0.6,7.1,13.22819071,-9.93,-77.9,1644,3289,Salobre,22.83048056,7.200164575,0.301803403,7.516376828,7.153192846,26.45538997,0,1.224246973,0.451577214,35.284407,37.84882537,3.50650215,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
